행사장,정류장,행사장_지역,정류장_지역,귀가행 소요시간,쿠션시간,행사장행_소요시간
서울월드컵경기장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,240,40,280
서울월드컵경기장,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,250,40,290
서울월드컵경기장,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,240,40,280
서울월드컵경기장,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,200,30,230
서울월드컵경기장,대전 시청역 4번출구 앞,서울특별시,대전광역시,220,30,250
서울월드컵경기장,동래역 3번 출구 150M 앞,서울특별시,부산광역시,290,60,350
서울월드컵경기장,서면역 12번 출구 앞,서울특별시,부산광역시,310,60,370
서울월드컵경기장,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,60,20,80
서울월드컵경기장,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,30,20,50
서울월드컵경기장,잠실역 제타플렉스 앞,서울특별시,서울특별시,60,20,80
서울월드컵경기장,합정역 8번출구 60M 앞,서울특별시,서울특별시,10,20,30
서울월드컵경기장,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,50,20,70
KSPO DOME,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,60,20,80
KSPO DOME,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,40,20,60
KSPO DOME,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,60,20,80
KSPO DOME,영통역 1번 출구 앞,서울특별시,경기도,50,20,70
KSPO DOME,중앙역 2번출구 앞 횡단보도,서울특별시,경기도,70,20,90
KSPO DOME,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,220,40,260
KSPO DOME,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,210,40,250
KSPO DOME,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,190,40,230
KSPO DOME,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,150,30,180
KSPO DOME,대전 시청역 4번출구 앞,서울특별시,대전광역시,170,30,200
KSPO DOME,동래역 3번 출구 150M 앞,서울특별시,부산광역시,270,60,330
KSPO DOME,서면역 12번 출구 앞,서울특별시,부산광역시,290,60,350
KSPO DOME,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,40,20,60
KSPO DOME,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,60,20,80
KSPO DOME,잠실역 제타플렉스 앞,서울특별시,서울특별시,20,20,40
KSPO DOME,합정역 8번출구 60M 앞,서울특별시,서울특별시,50,20,70
KSPO DOME,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,80,20,100
올림픽공원 올림픽홀,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,60,20,80
올림픽공원 올림픽홀,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,40,20,60
올림픽공원 올림픽홀,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,60,20,80
올림픽공원 올림픽홀,영통역 1번 출구 앞,서울특별시,경기도,50,20,70
올림픽공원 올림픽홀,중앙역 2번출구 앞 횡단보도,서울특별시,경기도,70,20,90
올림픽공원 올림픽홀,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,220,40,260
올림픽공원 올림픽홀,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,210,40,250
올림픽공원 올림픽홀,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,190,40,230
올림픽공원 올림픽홀,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,150,30,180
올림픽공원 올림픽홀,대전 시청역 4번출구 앞,서울특별시,대전광역시,170,30,200
올림픽공원 올림픽홀,동래역 3번 출구 150M 앞,서울특별시,부산광역시,270,60,330
올림픽공원 올림픽홀,서면역 12번 출구 앞,서울특별시,부산광역시,290,60,350
올림픽공원 올림픽홀,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,40,20,60
올림픽공원 올림픽홀,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,60,20,80
올림픽공원 올림픽홀,잠실역 제타플렉스 앞,서울특별시,서울특별시,20,20,40
올림픽공원 올림픽홀,합정역 8번출구 60M 앞,서울특별시,서울특별시,50,20,70
올림픽공원 올림픽홀,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,80,20,100
올림픽공원 핸드볼경기장,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,60,20,80
올림픽공원 핸드볼경기장,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,40,20,60
올림픽공원 핸드볼경기장,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,60,20,80
올림픽공원 핸드볼경기장,영통역 1번 출구 앞,서울특별시,경기도,50,20,70
